CAMIS,GRADE,BORO
40391272,1,MANHATTAN
40391284,0,MANHATTAN
40391304,0,BROOKLYN
40391339,0,MANHATTAN
40391350,0,QUEENS
40391375,0,BRONX
40391383,0,QUEENS
40391417,0,MANHATTAN
40391498,0,QUEENS
40391517,0,MANHATTAN
40391528,0,BROOKLYN
40391531,0,MANHATTAN
40391562,-1,BROOKLYN
40391594,0,MANHATTAN
40391639,0,BRONX
40391659,0,MANHATTAN
40391695,0,MANHATTAN
40391699,0,MANHATTAN
40391714,0,QUEENS
40391745,0,MANHATTAN
40391808,0,QUEENS
40391824,1,STATEN ISLAND
40391857,0,STATEN ISLAND
40391913,0,MANHATTAN
40391979,0,MANHATTAN
40392063,0,MANHATTAN
40392140,0,STATEN ISLAND
40392141,0,MANHATTAN
40392162,0,MANHATTAN
40392190,0,BRONX
40392228,0,MANHATTAN
40392244,0,MANHATTAN
40392256,0,QUEENS
40392285,0,BROOKLYN
40392313,0,STATEN ISLAND
40392339,1,MANHATTAN
40392384,1,QUEENS
40392388,0,MANHATTAN
40392410,0,QUEENS
40392430,0,MANHATTAN
40392496,0,MANHATTAN
40392497,1,MANHATTAN
40392622,0,BROOKLYN
40392668,0,MANHATTAN
40392685,-1,MANHATTAN
40392690,0,MANHATTAN
40392721,-1,QUEENS
40392724,0,MANHATTAN
40392766,1,BROOKLYN
40392834,0,MANHATTAN
40392872,0,MANHATTAN
40392886,0,MANHATTAN
40392895,1,MANHATTAN
40392927,0,BROOKLYN
40392939,1,QUEENS
40392984,-1,QUEENS
40393012,0,MANHATTAN
40393038,0,BROOKLYN
40393044,0,MANHATTAN
40393051,1,QUEENS
40393093,0,QUEENS
40393118,0,MANHATTAN
40393154,0,MANHATTAN
40393181,1,BROOKLYN
40393243,1,BROOKLYN
40393249,0,QUEENS
40393303,0,MANHATTAN
40393378,0,MANHATTAN
40393395,0,QUEENS
40393413,0,BROOKLYN
40393427,0,MANHATTAN
40393488,1,MANHATTAN
40393496,0,BROOKLYN
40393519,0,MANHATTAN
40393532,0,BROOKLYN
40393558,0,MANHATTAN
40393561,0,BROOKLYN
40393563,0,BRONX
40393570,0,MANHATTAN
40393591,0,MANHATTAN
40393679,-1,QUEENS
40393685,0,QUEENS
40393688,0,BRONX
40393712,-1,MANHATTAN
40393725,1,MANHATTAN
40393742,1,MANHATTAN
40393753,0,QUEENS
40393761,1,MANHATTAN
40393772,0,MANHATTAN
40393787,0,QUEENS
40393832,0,QUEENS
40393855,0,MANHATTAN
40393905,0,QUEENS
40393912,0,MANHATTAN
40393977,0,BROOKLYN
40393985,0,QUEENS
40394007,0,MANHATTAN
40394028,0,BROOKLYN
40394030,1,BRONX
40394037,0,QUEENS
40394053,0,MANHATTAN
40394054,1,BROOKLYN
40394059,0,QUEENS
40394066,0,MANHATTAN
40394068,0,BRONX
40394110,0,QUEENS
40394122,0,BROOKLYN
40394159,0,QUEENS
40394176,1,MANHATTAN
40394207,0,MANHATTAN
40394258,0,BROOKLYN
40394329,0,BROOKLYN
40394345,0,MANHATTAN
40394357,0,MANHATTAN
40394364,1,MANHATTAN
40394366,0,MANHATTAN
40394392,0,MANHATTAN
40394394,1,STATEN ISLAND
40394401,0,MANHATTAN
40394449,0,MANHATTAN
40394518,1,QUEENS
40394555,0,QUEENS
40394560,1,MANHATTAN
40394566,0,MANHATTAN
40394600,1,QUEENS
40394650,0,BROOKLYN
40394701,0,QUEENS
40394723,1,MANHATTAN
40394749,0,MANHATTAN
40394761,0,BRONX
40394762,0,MANHATTAN
40394770,1,BRONX
40394838,1,BRONX
40394840,0,MANHATTAN
40394916,0,BROOKLYN
40394957,0,BROOKLYN
40394962,0,QUEENS
40395020,0,QUEENS
40395023,-1,MANHATTAN
40395036,0,QUEENS
40395055,0,MANHATTAN
40395071,0,QUEENS
40395079,0,MANHATTAN
40395087,0,QUEENS
40395093,-1,MANHATTAN
40395110,0,QUEENS
40395122,0,MANHATTAN
40395140,-1,BROOKLYN
40395152,1,MANHATTAN
40395200,0,MANHATTAN
40395211,0,MANHATTAN
40395218,0,QUEENS
40395239,1,QUEENS
40395298,1,QUEENS
40395310,-1,QUEENS
40395313,0,BROOKLYN
40395333,0,BROOKLYN
40395343,0,MANHATTAN
40395366,0,BROOKLYN
40395375,0,QUEENS
40395376,1,MANHATTAN
40395480,0,QUEENS
40395505,0,QUEENS
40395511,0,BRONX
40395516,-1,QUEENS
40395525,1,BROOKLYN
40395526,0,BROOKLYN
40395551,1,QUEENS
40395554,0,STATEN ISLAND
40395568,0,BROOKLYN
40395597,1,QUEENS
40395653,0,BRONX
40395723,0,MANHATTAN
40395748,1,MANHATTAN
40395774,0,BROOKLYN
40395826,0,BROOKLYN
40395858,0,QUEENS
40395860,0,MANHATTAN
40395865,0,BROOKLYN
40395872,0,MANHATTAN
40395882,0,QUEENS
40395892,0,MANHATTAN
40395906,1,QUEENS
40395910,0,QUEENS
40395921,1,BRONX
40395935,0,STATEN ISLAND
40395992,0,BRONX
40395996,1,MANHATTAN
40396000,0,MANHATTAN
40396020,0,MANHATTAN
40396037,0,MANHATTAN
40396053,0,BRONX
40396074,1,MANHATTAN
40396126,0,MANHATTAN
40396159,0,MANHATTAN
40396183,1,MANHATTAN
40396215,0,STATEN ISLAND
40396230,1,QUEENS
40396231,1,MANHATTAN
40396246,0,MANHATTAN
40396256,0,QUEENS
40396264,1,MANHATTAN
40396267,0,QUEENS
40396381,1,MANHATTAN
40396395,0,MANHATTAN
40396399,0,BRONX
40396421,0,MANHATTAN
40396433,0,BROOKLYN
40396445,0,QUEENS
40396464,1,MANHATTAN
40396488,1,MANHATTAN
40396492,0,BROOKLYN
40396494,1,MANHATTAN
40396496,0,BROOKLYN
40396521,0,QUEENS
40396532,0,MANHATTAN
40396548,0,BRONX
40396574,0,MANHATTAN
40396596,0,MANHATTAN
